144.115,11349.9,1.15385,10739.3,11437
136.341,11353.5,1.15678,10786.5,11452
155.328,11343.9,1.16031,10786.1,11447
149.627,11361.9,1.12903,10720.7,11506
146.868,11350.5,1.1358,10759.5,11463
159.109,1892.39,1.16309,1278.13,2014
146.229,1723.55,1.15385,1079.63,1838
145.419,1733.49,1.16116,1082.41,1854
151.042,1768.89,1.12595,1222.37,1871
158.964,1731.18,1.14343,1110.78,1830
46.5977,444.383,1.05021,339.347,488
42.4449,434.197,1.10163,325.959,488
44.8992,459.345,1.07252,361.649,510
65.8034,2950.59,1.08647,2781.32,2979
72.688,2928.07,1.112,2770.91,2972
64.4818,2932.37,1.10277,2783.75,2964
73.4713,2928.91,1.0795,2769.44,2973
90.2753,840.656,1.07115,616.265,896
97.084,755.067,1.10305,519.534,803
95.6178,784.853,1.10373,527.967,839
97.9363,779.734,1.12446,527.159,835
322.061,12815.1,1.14346,11999.3,12917
277.253,12813.3,1.14043,11914.7,12938
287.83,12820.4,1.13765,11905,12950
298.441,12812.7,1.10277,12016.2,12951
297.936,12814.2,1.18327,11845.5,12950
301.4,2812.56,1.11429,1929.07,2931
305.18,2775.62,1.15809,1875.21,2871
309.664,2863.06,1.11067,1967.78,2959
303.733,2868.7,1.18677,1954.59,3006
332.325,2797.62,1.16532,1894.96,2952
124.212,1105.61,1.06439,856.765,1252
123.004,1080.97,1.06746,817.421,1224
103.543,1082.47,1.06198,805.207,1234
179.855,7389.51,1.08333,7057.88,7443
166.977,7384.47,1.07692,6985.82,7460
167.053,7396.63,1.08984,7042.46,7450
169.154,7393.63,1.15041,6978.68,7461
227.736,2036.44,1.1157,1408.97,2140
248.841,2007.89,1.09677,1408.48,2124
